### DATA:
#
#         Q               I              Error
#470
5.53784333E-02 8.89876182E-01 5.76596863E-03
5.59552391E-02 8.95109933E-01 5.63851094E-03
5.65320432E-02 9.02451257E-01 5.86623686E-03
5.71088457E-02 9.24453346E-01 5.96111899E-03
5.76856465E-02 9.25960867E-01 6.21461025E-03
5.82624456E-02 9.23446506E-01 6.22056127E-03
5.88392429E-02 9.31321603E-01 6.23011376E-03
5.94160386E-02 9.32092426E-01 6.36843344E-03
5.99928325E-02 9.37725119E-01 6.27677750E-03
6.05696246E-02 9.41884254E-01 6.53016491E-03
6.11464150E-02 9.37275629E-01 6.38892787E-03
6.17232036E-02 9.51979006E-01 6.59282760E-03
6.22999903E-02 9.50586484E-01 6.47450210E-03
6.28767752E-02 9.62863132E-01 6.43517301E-03
6.34535583E-02 9.67409979E-01 6.88142005E-03
6.40303395E-02 9.65946142E-01 6.48701707E-03
6.46071188E-02 9.65701412E-01 6.68468474E-03
6.51838962E-02 9.65977144E-01 6.68138893E-03
6.57606717E-02 9.62155513E-01 6.51598864E-03
6.63374453E-02 9.60150990E-01 6.78774600E-03
6.69142169E-02 9.62545973E-01 6.50042032E-03
6.74909866E-02 9.74143352E-01 6.75011135E-03
6.80677543E-02 9.66294655E-01 6.54480040E-03
6.86445199E-02 9.87505189E-01 6.60667386E-03
6.92212836E-02 9.90334685E-01 6.81576528E-03
6.97980452E-02 9.73472759E-01 6.59790143E-03
7.03748048E-02 9.83383769E-01 6.77048181E-03
7.09515623E-02 9.78770982E-01 6.72722010E-03
7.15283177E-02 9.78196825E-01 6.84867460E-03
7.21050710E-02 9.92293056E-01 6.96486745E-03
7.26818222E-02 9.87328828E-01 6.81939219E-03
7.32585713E-02 9.91214294E-01 7.00137448E-03
7.38353182E-02 9.85895141E-01 6.71140132E-03
7.44120629E-02 9.99824245E-01 6.92390477E-03
7.49888055E-02 9.89829746E-01 6.95069651E-03
7.55655458E-02 9.87675022E-01 6.87801711E-03
7.61422839E-02 9.79915800E-01 7.15022049E-03
7.67190198E-02 9.88633870E-01 6.71414479E-03
7.72957535E-02 9.95822597E-01 7.17283373E-03
7.78724848E-02 9.78741847E-01 6.83119609E-03
7.84492139E-02 9.90173261E-01 7.00631682E-03
7.90259407E-02 9.98546352E-01 7.06921509E-03
7.96026651E-02 1.00265732E+00 6.91379444E-03
8.01793872E-02 9.88864398E-01 7.05876165E-03
8.07561070E-02 1.00447720E+00 7.08464648E-03
8.13328243E-02 1.00336789E+00 7.02743829E-03
8.19095393E-02 9.98412771E-01 7.03753644E-03
8.24862519E-02 1.01573707E+00 7.12226233E-03
8.30629621E-02 9.95743365E-01 7.04263673E-03
8.36396698E-02 1.00984748E+00 7.11578450E-03
8.42163750E-02 1.00383497E+00 7.04223790E-03
8.47930778E-02 1.00590527E+00 7.20888095E-03
8.53697781E-02 9.97262089E-01 7.11693634E-03
8.59464759E-02 9.96330208E-01 7.11850013E-03
8.65231711E-02 1.00786959E+00 7.17336626E-03
8.70998638E-02 1.01403073E+00 7.15045959E-03
8.76765540E-02 1.01988352E+00 7.22826007E-03
8.82532416E-02 1.00032681E+00 7.13220056E-03
8.88299266E-02 1.00029597E+00 7.05323786E-03
8.94066089E-02 1.00082661E+00 7.26206894E-03
8.99832887E-02 1.01617826E+00 7.26856914E-03
9.05599658E-02 1.01095220E+00 7.41708054E-03
9.11366402E-02 1.00700758E+00 7.02224455E-03
9.17133120E-02 1.01660711E+00 7.24491187E-03
9.22899811E-02 9.90285050E-01 7.16166396E-03
9.28666474E-02 9.98087092E-01 7.31804891E-03
9.34433111E-02 1.00206394E+00 7.16822083E-03
9.40199720E-02 1.00711341E+00 7.35720776E-03
9.45966301E-02 9.99627317E-01 7.22101888E-03
9.51732854E-02 1.02825509E+00 7.43043339E-03
9.57499380E-02 1.01009816E+00 7.25151608E-03
9.63265877E-02 1.01587287E+00 7.25676034E-03
9.69032346E-02 9.92077702E-01 7.36579198E-03
9.74798787E-02 1.01504879E+00 7.33813415E-03
9.80565199E-02 1.00364279E+00 7.23986168E-03
9.86331582E-02 1.00684090E+00 7.10444189E-03
9.92097936E-02 1.00051077E+00 7.10009157E-03
9.97864261E-02 1.00618425E+00 7.47019836E-03
1.00363056E-01 1.01209594E+00 7.20852033E-03
1.00939682E-01 1.01111903E+00 7.40330525E-03
1.01516306E-01 1.00838312E+00 7.26692301E-03
1.02092927E-01 9.98007198E-01 7.15553270E-03
1.02669544E-01 1.00548971E+00 7.21681629E-03
1.03246159E-01 1.01564148E+00 6.84831847E-03
1.03822771E-01 1.01437766E+00 6.98340535E-03
1.04399379E-01 1.00084026E+00 7.18594720E-03
1.04975985E-01 9.94975231E-01 7.02213426E-03
1.05552587E-01 9.98591204E-01 7.02276938E-03
1.06129186E-01 1.00984306E+00 7.05092122E-03
1.06705783E-01 1.01648475E+00 7.13664066E-03
1.07282376E-01 1.01255059E+00 7.52346154E-03
1.07858966E-01 1.01346590E+00 7.26534645E-03
1.08435552E-01 1.00817628E+00 7.05506710E-03
1.09012136E-01 9.93973807E-01 7.04261393E-03
1.09588716E-01 1.00219942E+00 7.25947350E-03
1.10165293E-01 1.01494201E+00 7.37353261E-03
1.10741867E-01 9.95164260E-01 7.17503051E-03
1.11318438E-01 1.01141078E+00 7.32798692E-03
1.11895005E-01 9.95727453E-01 7.09868482E-03
1.12471569E-01 9.92253187E-01 7.07015055E-03
1.13048130E-01 1.00074166E+00 7.21097620E-03
1.13624688E-01 1.01906578E+00 7.22333895E-03
1.14201242E-01 1.00188723E+00 7.32970135E-03
1.14777793E-01 1.01312899E+00 7.44383008E-03
1.15354340E-01 1.01436984E+00 7.32771580E-03
1.15930884E-01 1.01781135E+00 7.14087947E-03
1.16507425E-01 1.01507291E+00 7.16398801E-03
1.17083962E-01 1.01212202E+00 7.28009794E-03
1.17660496E-01 1.00652034E+00 7.35772298E-03
1.18237026E-01 1.00867568E+00 7.22247251E-03
1.18813553E-01 9.93711103E-01 7.46024560E-03
1.19390076E-01 1.01749107E+00 7.30940246E-03
1.19966596E-01 1.01186579E+00 7.53254395E-03
1.20543112E-01 1.01262189E+00 7.23109590E-03
1.21119625E-01 1.00831456E+00 7.33829897E-03
1.21696134E-01 1.01856023E+00 7.55971373E-03
1.22272640E-01 1.00880194E+00 7.35494854E-03
1.22849142E-01 1.00740694E+00 7.06898922E-03
1.23425640E-01 1.00676095E+00 7.39869284E-03
1.24002135E-01 1.00275059E+00 7.32665204E-03
1.24578626E-01 1.01521658E+00 7.42764515E-03
1.25155114E-01 1.00585374E+00 7.52018847E-03
1.25731598E-01 1.00666969E+00 7.39796445E-03
1.26308078E-01 1.01620100E+00 7.38198937E-03
1.26884554E-01 1.00532580E+00 7.28373780E-03
1.27461027E-01 1.00782647E+00 7.51128539E-03
1.28037496E-01 1.00079859E+00 7.33662347E-03
1.28613961E-01 1.01130284E+00 7.37910300E-03
1.29190422E-01 1.02402404E+00 7.59221437E-03
1.29766880E-01 1.01490209E+00 7.50056288E-03
1.30343334E-01 1.01799815E+00 7.27172412E-03
1.30919784E-01 1.01036301E+00 7.26830637E-03
1.31496230E-01 1.00938725E+00 7.42475790E-03
1.32072672E-01 1.00323451E+00 7.38688497E-03
1.32649111E-01 1.00798592E+00 7.49064470E-03
1.33225545E-01 1.01497882E+00 7.30383136E-03
1.33801976E-01 1.00809348E+00 7.21273474E-03
1.34378403E-01 9.91207274E-01 7.23619505E-03
1.34954825E-01 1.01217438E+00 7.33518587E-03
1.35531244E-01 1.01254492E+00 7.54409554E-03
1.36107659E-01 1.02396801E+00 7.51432954E-03
1.36684070E-01 9.96418143E-01 7.28205860E-03
1.37260476E-01 1.01662307E+00 7.35450675E-03
1.37836879E-01 1.00739017E+00 7.33704265E-03
1.38413278E-01 9.94615617E-01 6.87249464E-03
1.38989673E-01 1.01151535E+00 6.97760028E-03
1.39566063E-01 1.01410849E+00 7.05576067E-03
1.40142450E-01 1.00648678E+00 7.23815184E-03
1.40718832E-01 1.01145078E+00 7.12679989E-03
1.41295210E-01 1.00713243E+00 7.11443226E-03
1.41871584E-01 1.01357586E+00 7.40609761E-03
1.42447954E-01 1.02031526E+00 7.26358433E-03
1.43024320E-01 1.01378160E+00 7.20992636E-03
1.43600681E-01 1.02143219E+00 7.42309178E-03
1.44177039E-01 1.01080255E+00 7.10224398E-03
1.44753392E-01 9.96602267E-01 7.26580874E-03
1.45329741E-01 9.98274343E-01 7.12848076E-03
1.45906085E-01 1.00071944E+00 7.37453828E-03
1.46482425E-01 9.90944362E-01 7.27825249E-03
1.47058761E-01 9.96765879E-01 7.35635648E-03
1.47635093E-01 9.90995004E-01 7.26224843E-03
1.48211420E-01 1.01147281E+00 7.34982007E-03
1.48787743E-01 9.85544526E-01 7.24247780E-03
1.49364062E-01 9.92119290E-01 7.34015984E-03
1.49940376E-01 1.01480535E+00 7.59444803E-03
1.50516686E-01 9.92684225E-01 7.61859031E-03
1.51092991E-01 1.00507132E+00 7.19907952E-03
1.51669292E-01 9.90530144E-01 7.23110533E-03
1.52245589E-01 1.00357463E+00 7.45065198E-03
1.52821881E-01 9.84935019E-01 7.37343712E-03
1.53398168E-01 9.89025514E-01 7.31144098E-03
1.53974451E-01 9.92736209E-01 7.28108582E-03
1.54550730E-01 1.00083040E+00 7.40900599E-03
1.55127004E-01 1.00140869E+00 7.16436768E-03
1.55703273E-01 9.92654325E-01 7.39483032E-03
1.56279538E-01 9.98789544E-01 7.46919254E-03
1.56855799E-01 9.92333605E-01 7.42047173E-03
1.57432054E-01 9.82649049E-01 7.30416921E-03
1.58008305E-01 9.88511585E-01 7.21261066E-03
1.58584552E-01 9.81699109E-01 7.35464639E-03
1.59160794E-01 1.00934925E+00 7.35944969E-03
1.59737031E-01 9.90817760E-01 7.32935190E-03
1.60313263E-01 9.88811996E-01 7.45256941E-03
1.60889491E-01 9.78730438E-01 7.37475927E-03
1.61465714E-01 9.82338462E-01 7.35776228E-03
1.62041932E-01 9.82631394E-01 7.36487053E-03
1.62618146E-01 9.90610682E-01 7.32701691E-03
1.63194354E-01 9.90648142E-01 7.44854303E-03
1.63770558E-01 9.83862088E-01 7.27653732E-03
1.64346757E-01 9.91107677E-01 7.44914967E-03
1.64922952E-01 9.70557490E-01 7.16758178E-03
1.65499141E-01 9.95560457E-01 7.29732306E-03
1.66075326E-01 9.88102618E-01 7.35589751E-03
1.66651506E-01 9.82851153E-01 7.38292015E-03
1.67227680E-01 9.77871245E-01 7.40557802E-03
1.67803850E-01 9.64475934E-01 7.24470467E-03
1.68380015E-01 9.72670450E-01 7.38443847E-03
1.68956175E-01 9.68632615E-01 7.23272630E-03
1.69532331E-01 9.73867878E-01 7.31610982E-03
1.70108481E-01 9.80692410E-01 7.24919374E-03
1.70684626E-01 9.76072732E-01 7.38411094E-03
1.71260766E-01 9.67928175E-01 7.32772174E-03
1.71836901E-01 9.72378662E-01 7.30024166E-03
1.72413031E-01 9.77212510E-01 7.27880164E-03
1.72989156E-01 9.72455818E-01 7.21696838E-03
1.73565276E-01 9.86933982E-01 6.84055984E-03
1.74141391E-01 9.81513259E-01 6.75218589E-03
1.74717501E-01 9.69144577E-01 6.92259301E-03
1.75293605E-01 9.69552174E-01 6.96724051E-03
1.75869705E-01 9.79753288E-01 7.05108428E-03
1.76445799E-01 9.66783219E-01 6.97088469E-03
1.77021888E-01 9.77132230E-01 7.08582170E-03
1.77597972E-01 9.67613566E-01 7.21549289E-03
1.78174051E-01 9.63048732E-01 7.10451837E-03
1.78750125E-01 9.68368139E-01 7.13356838E-03
1.79326193E-01 9.61096682E-01 7.10802889E-03
1.79902256E-01 9.76178524E-01 7.06997200E-03
1.80478314E-01 9.61448764E-01 7.22502437E-03
1.81054366E-01 9.63805951E-01 7.02623112E-03
1.81630413E-01 9.71813806E-01 7.14034420E-03
1.82206455E-01 9.62542605E-01 7.13016967E-03
1.82782491E-01 9.63473444E-01 7.24892537E-03
1.83358522E-01 9.67500512E-01 7.25669095E-03
1.83934548E-01 9.54588692E-01 7.21376624E-03
1.84510569E-01 9.66719709E-01 7.39713500E-03
1.85086583E-01 9.63564229E-01 7.35059896E-03
1.85662593E-01 9.57090541E-01 7.14271173E-03
1.86238597E-01 9.57800409E-01 7.29268567E-03
1.86814596E-01 9.59566439E-01 7.30902326E-03
1.87390589E-01 9.45166677E-01 7.20284725E-03
1.87966576E-01 9.50910706E-01 7.19294968E-03
1.88542558E-01 9.54804220E-01 7.12100682E-03
1.89118535E-01 9.57060143E-01 7.40417087E-03
1.89694506E-01 9.67873647E-01 7.26560704E-03
1.90270471E-01 9.44186723E-01 7.20585775E-03
1.90846431E-01 9.50838897E-01 7.30540608E-03
1.91422385E-01 9.66853423E-01 7.33349767E-03
1.91998334E-01 9.52506438E-01 7.16929486E-03
1.92574277E-01 9.49563408E-01 7.17441928E-03
1.93150215E-01 9.54574906E-01 7.24527335E-03
1.93726146E-01 9.44950078E-01 7.18875746E-03
1.94302072E-01 9.44836395E-01 7.32231879E-03
1.94877993E-01 9.53340248E-01 7.29454097E-03
1.95453907E-01 9.56866201E-01 7.20079754E-03
1.96029816E-01 9.49894730E-01 7.35753094E-03
1.96605719E-01 9.56348114E-01 7.19021300E-03
1.97181617E-01 9.50328374E-01 7.33744435E-03
1.97757508E-01 9.43858149E-01 7.18847557E-03
1.98333394E-01 9.56780745E-01 7.14616376E-03
1.98909274E-01 9.39515677E-01 7.13560447E-03
1.99485148E-01 9.48381583E-01 7.30556285E-03
2.00061017E-01 9.55160997E-01 7.18329220E-03
2.00636879E-01 9.46647991E-01 7.16622641E-03
2.01212736E-01 9.62417808E-01 7.29829371E-03
2.01788586E-01 9.53213088E-01 7.19990798E-03
2.02364431E-01 9.49114734E-01 7.18242115E-03
2.02940270E-01 9.54042570E-01 7.26607412E-03
2.03516103E-01 9.52497181E-01 7.30315496E-03
2.04091930E-01 9.45362277E-01 7.22321637E-03
2.04667751E-01 9.41463589E-01 7.24968023E-03
2.05243565E-01 9.34431870E-01 7.00393442E-03
2.05819374E-01 9.41885640E-01 7.26399725E-03
2.06395177E-01 9.52260952E-01 7.26708643E-03
2.06970974E-01 9.32001012E-01 7.31112588E-03
2.07546765E-01 9.31532270E-01 7.09413101E-03
2.08122549E-01 9.43650801E-01 7.05893194E-03
2.08698328E-01 9.49626751E-01 6.62650810E-03
2.09274100E-01 9.54173019E-01 6.65451958E-03
2.09849867E-01 9.40311950E-01 6.82209520E-03
2.10425627E-01 9.39396698E-01 7.08973847E-03
2.11001381E-01 9.37650213E-01 7.09650875E-03
2.11577129E-01 9.42648021E-01 7.06207513E-03
2.12152870E-01 9.40664429E-01 6.93318343E-03
2.12728606E-01 9.60857419E-01 7.18265878E-03
2.13304335E-01 9.45562459E-01 7.10463682E-03
2.13880058E-01 9.35598984E-01 7.00815158E-03
2.14455775E-01 9.38020671E-01 7.06446600E-03
2.15031485E-01 9.46966681E-01 7.05018861E-03
2.15607189E-01 9.48770991E-01 7.07750710E-03
2.16182887E-01 9.36671227E-01 7.25373615E-03
2.16758578E-01 9.37086766E-01 7.18613839E-03
2.17334263E-01 9.46512903E-01 7.16117813E-03
2.17909942E-01 9.48339592E-01 7.28688506E-03
2.18485614E-01 9.39139387E-01 7.12695718E-03
2.19061280E-01 9.34861612E-01 6.98774122E-03
2.19636939E-01 9.27221325E-01 7.16397194E-03
2.20212593E-01 9.39944192E-01 7.28695245E-03
2.20788239E-01 9.30214052E-01 7.11999798E-03
2.21363879E-01 9.29199835E-01 7.16869927E-03
2.21939513E-01 9.26531200E-01 7.21141252E-03
2.22515140E-01 9.22992627E-01 7.17819175E-03
2.23090761E-01 9.29045354E-01 7.28224859E-03
2.23666375E-01 9.26495090E-01 7.23294823E-03
2.24241982E-01 9.25323575E-01 7.18916866E-03
2.24817583E-01 9.12568138E-01 7.14892443E-03
2.25393178E-01 9.24197547E-01 7.14597236E-03
2.25968765E-01 9.32701841E-01 7.34023796E-03
2.26544346E-01 9.20988770E-01 7.08587319E-03
2.27119921E-01 9.12374518E-01 7.08711904E-03
2.27695489E-01 9.26706595E-01 7.10260188E-03
2.28271050E-01 9.27892066E-01 7.19481020E-03
2.28846605E-01 9.13277939E-01 7.16947069E-03
2.29422152E-01 9.15318461E-01 7.25119795E-03
2.29997693E-01 9.26037967E-01 7.14887049E-03
2.30573228E-01 9.26732877E-01 7.09256351E-03
2.31148755E-01 9.10685616E-01 7.18711256E-03
2.31724276E-01 9.29490991E-01 7.03250712E-03
2.32299790E-01 9.11882137E-01 7.24636420E-03
2.32875297E-01 9.24756683E-01 7.10708926E-03
2.33450798E-01 9.25503954E-01 6.98812552E-03
2.34026291E-01 9.27216733E-01 7.24493964E-03
2.34601778E-01 9.10281599E-01 7.14737101E-03
2.35177258E-01 9.25548158E-01 7.25550410E-03
2.35752731E-01 9.14697743E-01 7.00198658E-03
2.36328197E-01 9.22014849E-01 7.15371715E-03
2.36903656E-01 8.96105329E-01 7.11162922E-03
2.37479108E-01 9.03050622E-01 7.09573198E-03
2.38054554E-01 8.90142821E-01 7.01132731E-03
2.38629992E-01 9.15281486E-01 7.03528023E-03
2.39205423E-01 9.05708104E-01 6.93799276E-03
2.39780847E-01 9.04900462E-01 7.11934532E-03
2.40356265E-01 8.98923160E-01 7.02312599E-03
2.40931675E-01 8.96271677E-01 7.12688481E-03
2.41507078E-01 9.00821141E-01 7.06722263E-03
2.42082474E-01 8.93480198E-01 7.09491507E-03
2.42657863E-01 8.89847848E-01 7.05689316E-03
2.43233245E-01 8.92043600E-01 6.85944342E-03
2.43808620E-01 8.95555389E-01 6.56071563E-03
2.44383987E-01 8.95191618E-01 6.46684717E-03
2.44959348E-01 8.89033014E-01 6.68211467E-03
2.45534701E-01 8.88210717E-01 6.60639800E-03
2.46110047E-01 8.87790395E-01 6.70118856E-03
2.46685386E-01 9.01585058E-01 6.81274354E-03
2.47260718E-01 8.99297507E-01 6.73405492E-03
2.47836042E-01 8.91060779E-01 6.80896428E-03
2.48411360E-01 8.84114817E-01 6.85395198E-03
2.48986670E-01 8.83241680E-01 6.85590966E-03
2.49561972E-01 8.86476512E-01 6.98959664E-03
2.50137268E-01 8.87036775E-01 6.96460280E-03
2.50712556E-01 8.79796660E-01 7.07269969E-03
2.51287836E-01 8.91687500E-01 6.95934197E-03
2.51863110E-01 8.90660590E-01 7.13386585E-03
2.52438375E-01 8.71430511E-01 6.96157020E-03
2.53013634E-01 8.90350286E-01 7.02724213E-03
2.53588885E-01 8.69022621E-01 6.97914349E-03
2.54164129E-01 8.81787524E-01 7.13971024E-03
2.54739365E-01 8.64542973E-01 6.81685401E-03
2.55314594E-01 8.71999717E-01 6.98327189E-03
2.55889815E-01 8.70315542E-01 6.88218418E-03
2.56465029E-01 8.58665989E-01 6.89739368E-03
2.57040236E-01 8.63765396E-01 6.96740940E-03
2.57615435E-01 8.59077609E-01 6.83894108E-03
2.58190626E-01 8.49564076E-01 6.91549404E-03
2.58765810E-01 8.45180931E-01 6.69624752E-03
2.59340986E-01 8.43459276E-01 6.89411015E-03
2.59916154E-01 8.60656670E-01 6.93183299E-03
2.60491315E-01 8.63877401E-01 7.00803408E-03
2.61066469E-01 8.49544293E-01 6.93105201E-03
2.61641614E-01 8.46994108E-01 6.90701635E-03
2.62216753E-01 8.53294284E-01 6.88824086E-03
2.62791883E-01 8.44423247E-01 6.67625259E-03
2.63367006E-01 8.35028340E-01 6.72037470E-03
2.63942121E-01 8.36846545E-01 6.79890186E-03
2.64517228E-01 8.32554753E-01 6.89207288E-03
2.65092328E-01 8.33433273E-01 6.84078662E-03
2.65667419E-01 8.32876210E-01 6.95126059E-03
2.66242503E-01 8.40078129E-01 6.80677405E-03
2.66817580E-01 8.33812534E-01 6.93401992E-03
2.67392648E-01 8.33204021E-01 6.79063363E-03
2.67967709E-01 8.24493898E-01 6.74372611E-03
2.68542761E-01 8.27822330E-01 6.84935146E-03
2.69117806E-01 8.13022670E-01 6.68311642E-03
2.69692843E-01 8.11292355E-01 6.67930391E-03
2.70267872E-01 8.18650345E-01 6.79956437E-03
2.70842894E-01 8.28364857E-01 6.75346901E-03
2.71417907E-01 8.22307110E-01 6.72430772E-03
2.71992912E-01 8.11742920E-01 6.79714941E-03
2.72567910E-01 8.02858371E-01 6.73178198E-03
2.73142899E-01 8.14991131E-01 6.77637358E-03
2.73717881E-01 8.10786017E-01 6.63282591E-03
2.74292854E-01 8.06194580E-01 6.58943475E-03
2.74867820E-01 7.92984807E-01 6.76111969E-03
2.75442777E-01 7.98370927E-01 6.72132501E-03
2.76017726E-01 7.93057237E-01 6.74572210E-03
2.76592668E-01 8.01049927E-01 6.62927744E-03
2.77167601E-01 8.03796044E-01 6.73234966E-03
2.77742526E-01 8.00475070E-01 6.74782261E-03
2.78317443E-01 8.45748249E-01 6.92176513E-03
#
#
### HEADER:
#
#{
#    "Notes": "", 
#    "analysis": {}, 
#    "config_file": "/Volumes/xport/Papers_in_progress/SaxsProf/Current/TestSet/nov07_data/SAXS_ForPaper.cfg", 
#    "counters": {
#        "Epoch": "23472", 
#        "I1": "231131", 
#        "I3": "327435", 
#        "Seconds": "1", 
#        "Time": "4.0531158e-06", 
#        "date": "Sat Nov 07 17:58:34 2015", 
#        "diode": "1138", 
#        "gdoor": "1181", 
#        "hep": "0", 
#        "hepstat": "1085"
#    }, 
#    "filename": "A_nov07_072_lysbufnorm.dat", 
#    "history": {
#        "averaged_files": [
#            [
#                "nov07_072_0000.tiff"
#            ], 
#            [
#                "nov07_072_0001.tiff"
#            ], 
#            [
#                "nov07_072_0002.tiff"
#            ], 
#            [
#                "nov07_072_0003.tiff"
#            ], 
#            [
#                "nov07_072_0004.tiff"
#            ], 
#            [
#                "nov07_072_0005.tiff"
#            ], 
#            [
#                "nov07_072_0006.tiff"
#            ], 
#            [
#                "nov07_072_0007.tiff"
#            ], 
#            [
#                "nov07_072_0008.tiff"
#            ], 
#            [
#                "nov07_072_0009.tiff"
#            ], 
#            [
#                "nov07_072_0010.tiff"
#            ], 
#            [
#                "nov07_072_0011.tiff"
#            ], 
#            [
#                "nov07_072_0012.tiff"
#            ], 
#            [
#                "nov07_072_0013.tiff"
#            ], 
#            [
#                "nov07_072_0014.tiff"
#            ], 
#            [
#                "nov07_072_0015.tiff"
#            ], 
#            [
#                "nov07_072_0016.tiff"
#            ], 
#            [
#                "nov07_072_0017.tiff"
#            ], 
#            [
#               "nov07_072_0018.tiff"
#            ], 
#            [
#                "nov07_072_0019.tiff"
#            ], 
#            [
#                "nov07_072_0020.tiff"
#            ], 
#            [
#                "nov07_072_0021.tiff"
#            ], 
#            [
#                "nov07_072_0022.tiff"
#            ], 
#            [
#                "nov07_072_0023.tiff"
#            ], 
#            [
#                "nov07_072_0024.tiff"
#            ], 
#            [
#                "nov07_072_0025.tiff"
#            ], 
#            [
#                "nov07_072_0026.tiff"
#            ], 
#            [
#                "nov07_072_0027.tiff"
#            ], 
#            [
#                "nov07_072_0028.tiff"
#            ], 
#            [
#                "nov07_072_0029.tiff"
#            ]
#        ]
#    }, 
#    "imageHeader": {}, 
#    "load_path": "/Volumes/xport/Papers_in_progress/SaxsProf/Current/TestSet/nov07_data/nov07_072_0000.tiff", 
#    "normalizations": {
#        "Counter_norms": [
#            [
#                "/", 
#                "I3/106954"
#            ]
#        ], 
